//name territory:typePlayer:unitsTerritory(Swordsman,Lancer,Axeman,Scout,Archer)
Acomayo:none:50,0,50,0,0
Calca:none:40,20,0,0,0
Canas:none:50,0,0,50,0
Canchis:none:50,50,50,0,0
Chumbivilcas:none:50,50,0,50,0
Espinar:bot:0,50,50,50,50
LaConvencion:player:80,20,20,20,0
Qosqo:none:0,0,50,50,0
Inambari:none:0,50,0,0,0
Huepetuhe:none:0,0,50,0,50
Manu:none:0,0,50,50,0
Tahuamanu:bot2:0,0,50,50,0
Tambopata:none:50,50,0,0,0
Chaccho:none:0,50,50,0,0
Curimana:none:0,50,50,0,0
Purus:none:0,50,50,0,0
Tahuania:none:0,50,50,0,0
Yarinacocha:bot3:0,50,50,0,0
Yurua:none:50,0,50,0,0
Paucartambo:none:0,50,50,0,0
Urubamba:none:0,50,50,0,0
Masisea:none:0,50,50,50,0
Iñapari:none:0,50,50,0,0
Quispicanchi:none:0,50,50,50,0
